,MCF7,MDA_MB_231,HS578T,BT_549,T47D,SF_268,SF_295,SF_539,SNB_19,SNB_75,U251,COLO205,HCC_2998,HCT_116,HCT_15,HT29,KM12,SW_620,CCRF_CEM,HL_60,K_562,MOLT_4,RPMI_8226,SR,LOXIMVI,MALME_3M,M14,SK_MEL_2,SK_MEL_28,SK_MEL_5,UACC_257,UACC_62,MDA_MB_435,MDA_N,A549,EKVX,HOP_62,HOP_92,NCI_H226,NCI_H23,NCI_H322M,NCI_H460,NCI_H522,IGROV1,OVCAR_3,OVCAR_4,OVCAR_5,OVCAR_8,SK_OV_3,NCI_ADR_RES,PC_3,DU_145,786_0,A498,ACHN,CAKI_1,RXF_393,SN12C,TK_10,UO_31
U251,0.23279434772979385,0.26303248015782715,0.3793114221118074,0.3362613418675971,0.22878454484480065,0.4055950065434119,0.565771924949136,0.477106741626766,0.5684520649406544,0.49873635176700176,1.0,0.17838851152445073,0.2266856023023726,0.33986937849690185,0.30009544331979005,0.22761801021703248,0.23781490780247888,0.13334089303995006,0.1594348658335269,0.17730410174429773,0.24130894469428482,0.16162724438983905,0.16079043197892623,0.1811461934046929,0.4120816839289608,0.2732957726651853,0.26614939889957606,0.3298063175198655,0.2702359984954609,0.24044240609844408,0.24577415732095725,0.3617958392217882,0.35805053958933936,0.3181301913600843,0.36718097377826314,0.3706907172229696,0.4669115742831164,0.4204878156458773,0.4175279969271854,0.3902108116300616,0.2995930809145992,0.4052413749574845,0.3059851699884774,0.3417279321213555,0.3335290149642753,0.3376710980347661,0.2819046201160628,0.3609726115379664,0.38626306029839325,0.34360134300732575,0.4202064179617124,0.3427743227020141,0.4199979499197664,0.37359495318530284,0.40900684048758634,0.45824367804418004,0.4427102594588956,0.4141482872569578,0.3886182769724695,0.42901173215870864
COLO205,0.3987190411904799,0.15025023158723066,0.08892248474752784,0.12556475859603716,0.3367288950532869,0.23349366730348592,0.1829748521763634,0.10617017241584076,0.10098243755295638,0.10546945767271887,0.17838851152445073,1.0,0.5656717488621479,0.3807139257077888,0.45151312073533484,0.5955007966986214,0.6124669823121771,0.19916088760757672,0.19428495921023742,0.2909871642870672,0.2916232286941947,0.225362955599488,0.25894395265896036,0.31994747811192853,0.2274575019646186,0.12224093252324769,0.15516575096504454,0.14174088270741875,0.15361082260973763,0.1762199760389324,0.173497191635195,0.15653599004632207,0.18214041661589692,0.21404853104441474,0.3932199828208705,0.2643536903572428,0.198649968136071,0.20919005070054358,0.1952126347885486,0.24937367001985328,0.3835982313204272,0.2823294413369292,0.1625864860090121,0.3235442154478832,0.3347262607581348,0.3323958177189497,0.3072252253437053,0.228309349572908,0.2925583967962329,0.17176931735931028,0.24428053414451173,0.3118028801105797,0.19887421368160135,0.24775362091239245,0.24801589310958966,0.2432602585825689,0.11158762543248563,0.23156848271240688,0.25242878387638085,0.1793536132370625
HCC_2998,0.4275107951285447,0.13053867098916766,0.12218535762071564,0.22192882583731327,0.3585297122862043,0.19186487191522011,0.25430616675643564,0.17265834147924125,0.17620790571023676,0.14450364675824195,0.2266856023023726,0.5656717488621479,1.0,0.45950197048556746,0.6328840755836909,0.6221178287361202,0.5808176582488431,0.14702352785767386,0.16575011098169984,0.2313477012918767,0.3022618121411588,0.13341231120841884,0.25582049423519065,0.29693664368207423,0.2583272180273429,0.1751601786878893,0.1630338031200484,0.19088414860887187,0.1840320439064182,0.19636865396836073,0.19155563046955776,0.20383270858975316,0.2309897706013609,0.22479502052668104,0.403459934840489,0.36484518807277305,0.3144216351200693,0.3075790278369351,0.23208727942763635,0.35694651399108573,0.47973048282542713,0.32352206632354813,0.2366720491317969,0.38205560731987026,0.3795939184673072,0.38698231724839977,0.33684547141323457,0.30834326141350393,0.33691024479162507,0.27622596948172023,0.35112049341797374,0.38402672956137235,0.25980540882424447,0.30659420971799084,0.29867554276894875,0.30968271021796706,0.20933579117410245,0.2760845250075645,0.3576053624865195,0.2706548034576725
HCT_116,0.4427183718232763,0.34187530429897267,0.19854035619156846,0.2477582341488102,0.3710806874165217,0.3163110093743419,0.3384607193267119,0.23574375131751574,0.23137933865964372,0.21064038192262685,0.33986937849690185,0.3807139257077888,0.45950197048556746,1.0,0.5299803015775939,0.47329364784039113,0.49461344457122175,0.29131351558955904,0.2489296854978727,0.3430184717412445,0.3738431069554699,0.2327571522588852,0.2891194367592272,0.30858207897390016,0.3863322190688497,0.22090515510076064,0.2287416020907867,0.24587591815843618,0.23024753037533702,0.2684639289562604,0.2506791385268666,0.2856868348979826,0.2845598616596006,0.294921233097955,0.43543325069269284,0.37168559536044626,0.3728034501960575,0.37398260586418747,0.3601715194552448,0.4312379562002879,0.42437628491615836,0.3506430266123542,0.36719167861790253,0.46174411989197944,0.41770594666021504,0.4021468683076555,0.45093942403266146,0.37167977958683535,0.3639771224061004,0.3958348527544446,0.39929978414068495,0.43522317570315755,0.3181529257197409,0.3052226379833382,0.4152132142534722,0.38676071219159763,0.23887951621005982,0.39299802821926594,0.390809564900132,0.32406411489185266
HCT_15,0.5253978429066057,0.1676167387878567,0.19023323507695006,0.24682552040256528,0.41601873969706765,0.2808036491987808,0.30482427136401397,0.23806906826421464,0.22154022103755527,0.21055641285154064,0.30009544331979005,0.45151312073533484,0.6328840755836909,0.5299803015775939,1.0,0.5431110122162865,0.5272788673667705,0.13354906350465418,0.20360332274718979,0.2489732827247772,0.3427288354430366,0.18677358751794665,0.26979488222624376,0.31677270826943055,0.2945309292787131,0.2138237052759882,0.21977855022995757,0.25576422970173834,0.23011847724485418,0.2423570452886607,0.228436158419612,0.25299733804732333,0.2927524655230607,0.2528994954275012,0.3992089135645264,0.4007954444203567,0.4163138839212534,0.3613786400225633,0.24712727781394667,0.4501395769966989,0.5076187159405972,0.32383332715197183,0.2969466191344599,0.46278254766266863,0.45186759962971706,0.46511787696233003,0.36108156183422807,0.3960115918700447,0.3909217083067597,0.32555713470040243,0.36863058052779846,0.4634761844953162,0.32592099999563323,0.3011549726987522,0.3544698650300859,0.36945394660657255,0.24670165700820618,0.357494482738776,0.3958353037059879,0.34610922063291466
HT29,0.39948655149199647,0.18072929250568032,0.10639241492030521,0.217515709535059,0.3759153889546574,0.24065412143715864,0.23295574952727743,0.15348443230024839,0.132440551090989,0.13307810297829153,0.22761801021703248,0.5955007966986214,0.6221178287361202,0.47329364784039113,0.5431110122162865,1.0,0.5650135398465461,0.16879960015050716,0.1978275613939225,0.263120068338451,0.29040965886968745,0.1990853085898397,0.2554129357661424,0.3314208169099228,0.2856409469888251,0.1288479714465201,0.16273214745978054,0.15597338803523947,0.14940695537461907,0.15482198765216454,0.16862575497969728,0.17443328404405084,0.19736448144896718,0.2203275858160441,0.3925971112977054,0.3251617841981546,0.2844946614834131,0.2904404150108431,0.28547536144940305,0.2986898023430467,0.4553469825726281,0.31995883708459233,0.20125940543566062,0.3655666262740935,0.3808954236385044,0.4048458932913486,0.39317687076081137,0.2904731274114479,0.3381976593925287,0.2703354037789109,0.3095113058341012,0.38026447381337186,0.25199965859686807,0.30733783100728757,0.33889856199827223,0.3221534427032146,0.2029527739202816,0.2896812002434936,0.3346693516067744,0.25518921006045486
KM12,0.42861235974543593,0.243689373632562,0.14255606575988605,0.20045796372328112,0.38578884846939515,0.2838389548576548,0.24985858721487214,0.15499396089167822,0.17255223456192043,0.1457440617974976,0.23781490780247888,0.6124669823121771,0.5808176582488431,0.49461344457122175,0.5272788673667705,0.5650135398465461,1.0,0.2720792242362678,0.20845960628446808,0.29940077926615233,0.32254417298897625,0.2114594309791344,0.28767715207908123,0.31326186760685065,0.28390422299496426,0.15579426022444404,0.15948893970428873,0.18446325154610116,0.1807066486069306,0.18565505985639946,0.20841146445410524,0.21888692937967785,0.23147378162671456,0.25772509668432014,0.4255661368498292,0.3293592349198557,0.2913320991180946,0.27863720574623035,0.26233014770927915,0.3118628751939618,0.4447091826584462,0.3168102727743079,0.21869763468642395,0.4145794078235315,0.3915656191731342,0.37294369889983486,0.36920507094329386,0.2902900419197359,0.358148629495133,0.25844804852029374,0.3746955941997306,0.38219273204145915,0.25888868202315946,0.2712666091295675,0.2982150600251467,0.3074122425799351,0.16745684733281258,0.28780992001311917,0.3283127569312871,0.24980522564149438
SW_620,0.1386914729278121,0.5537215437337311,0.01040747103102796,0.018867071932701984,0.16197340359823126,0.14982523392839348,0.11774721757110657,0.039292442367029945,0.049096950221434565,0.03669584430164119,0.13334089303995006,0.19916088760757672,0.14702352785767386,0.29131351558955904,0.13354906350465418,0.16879960015050716,0.2720792242362678,1.0,0.17710170841147316,0.3011096651557555,0.1936960091380397,0.1746772583120016,0.15058185738817548,0.1367717265293234,0.1636265873749026,0.045161561387903115,0.0,0.026488024522744014,0.03482984027733821,0.017251033424284523,0.08652785014789949,0.08532788315927886,0.07191278128737949,0.11584699102245061,0.18002039582258406,0.10592419879795167,0.08588940175342413,0.0931136381429476,0.2121959704734317,0.09687333060339515,0.15053170459694626,0.09065634320479721,0.13418948665365332,0.211901547930398,0.15503241507181725,0.12725523709041714,0.22809347830783716,0.08000160929183286,0.16822229318883558,0.16155622969888778,0.1379405606175383,0.09746998359045683,0.09043181875120998,0.08240371967396753,0.1532271253639354,0.14498125562349878,0.0670378009391896,0.15709124173571115,0.13447255591090906,0.12114857573363019
CCRF_CEM,0.2129540906596819,0.18850585529493463,0.06647779930302239,0.11588062122066872,0.17396405165680157,0.20207788215530792,0.200987624780048,0.1093273330241134,0.0783941654548092,0.10366125319090669,0.1594348658335269,0.19428495921023742,0.16575011098169984,0.2489296854978727,0.20360332274718979,0.1978275613939225,0.20845960628446808,0.17710170841147316,1.0,0.4824571242149596,0.35632144902744506,0.6737677506824566,0.3407602190221614,0.3622293727373926,0.22826276919246052,0.12235681523052738,0.12437501334319062,0.12075512247989711,0.1364036582861669,0.1252235486166629,0.20757302811864126,0.17011549824755107,0.1810837663952935,0.17167868001634917,0.191767703230248,0.12266407321475387,0.15464233614015427,0.15880682592943068,0.1635200756687461,0.20915601880087448,0.12196731276141676,0.17915616532893203,0.2485093167884052,0.21634272813605476,0.168614938615596,0.16386625842220998,0.1827906610218893,0.19672197795179974,0.15098994658085424,0.2617403291568598,0.1249033415770377,0.15517950008769982,0.13455526144081847,0.10471037849980686,0.17670490297051616,0.17037440673802723,0.10242483521058837,0.22660953767185715,0.16775391587635474,0.12128523696404242
HL_60,0.3081507590177241,0.30380752616689105,0.10963625223704215,0.1484951640140138,0.23702357379063016,0.2902623563588878,0.23988796043918142,0.13765396584110462,0.11123218962873499,0.12704341996657792,0.17730410174429773,0.2909871642870672,0.2313477012918767,0.3430184717412445,0.2489732827247772,0.263120068338451,0.29940077926615233,0.3011096651557555,0.4824571242149596,1.0,0.43693623167477197,0.4692692957440681,0.45340877579240485,0.4843698914641921,0.2895221830447811,0.1414161311847963,0.15950343197797995,0.157399541294514,0.17584238092711174,0.18668812996543976,0.21934207234576192,0.1916059918239969,0.20544750970895626,0.25237532285282055,0.3083709485769692,0.18239717669109862,0.18138708778627116,0.20402941095734123,0.26497925016087226,0.23966064933240122,0.19079043487756403,0.2558421964081075,0.2346963444072359,0.2860039735151953,0.25710784400105463,0.2327179438080616,0.31140406741629595,0.24175915086867178,0.20558396545407925,0.24314045908267984,0.16953730925819316,0.24076321048338506,0.18666967759629355,0.18413577689684552,0.23325108161868507,0.23776216752055662,0.12049516532212362,0.28626480795569004,0.21371788608798364,0.15485220151533835
