,NSC,CID,SMILES,MECHANISM,NAME
28,1012,95307,C1=CC=C(C=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=CC=CC=C4C(=O)O,Other,"Anthranilic acid, N-(alpha-(8-hydroxy-7-quinolyl)benzyl)-"
29,1013,219565,C1=CC=C(C=C1)NC(C2=CC=C(C=C2)[N+](=O)[O-])C3=C(C4=C(C=CC=N4)C=C3)O,Other,7-(alpha-Anilino-P-nitrobenzyl)-8-quinolinol
30,1014,219566,CC1=CC(=NC=C1)NC(C2=CC=CC=C2)C3=C(C4=C(C=CC=N4)C=C3)O,Other,7-[alpha-[(4-Methyl-2-pyridyl)amino]benzyl]-8-quinolinol
31,1026,2901,C1CCC(C1)(C(=O)O)N,Other,Cycloleucine
32,1027,219573,CC(C)(C(=O)C(Br)Br)Br,Other,"1,1,3-Tribromo-3-methyl-2-butanone"
33,1063,219600,COC1=CC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NCCCCCN4CCCCC4,Other,6-Chloro-2-methoxy-9-[(5-piperidinopentyl)amino]acridine
34,1199,219648,CC1(C2CCC1(C(C2)OCC(C)(C)N)C)C,Other,"2-(Isobornyloxy)-1,1-dimethylethylamine"
35,1338,219690,CCCCCCCCCCNC(=O)CI,Other,N-Decyl-2-iodoacetamide
36,1390,135401907,C1=NNC2=C1C(=O)NC=N2,DNA,Allopurinol
37,1393,75420,C1=NNC2=NC=NC(=C21)N,Other,"1H-Pyrazolo[3,4-d]pyrimidin-4-amine"
38,1433,219760,CCCCNC1=C2C=NN(C2=NC=N1)C3=CC=CC=C3,Other,"N-butyl-1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
39,1460,95318,C1=CC2=C(NN=C2C=C1)CC(C(=O)O)N,Other,Tryptazan
40,1482,219796,CC1(C2CCC1(C(C2)OCC(C)(C)[N+](=O)[O-])C)C,Other,2-(2-Methyl-2-nitropropoxy)bornane
41,1507,219799,C1=CC=C(C=C1)OC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Other,"2-Chloro-3-phenoxy-1,4-naphthoquinone"
42,1760,219939,C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)CCC(=O)NN,Other,"3-Phenanthrenepropionic acid, hydrazide"
43,1771,5455,CN(C)C(=S)SSC(=S)N(C)C,Other,Thiram
44,49512,5455,CN(C)C(=S)SSC(=S)N(C)C,Other,Thiram
45,622696,5455,CN(C)C(=S)SSC(=S)N(C)C,Other,Thiram
46,1797,7340,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Other,o-Aminoazotoluene
47,26821,7340,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Other,o-Aminoazotoluene
48,1895,15078,C1(=NC(=NN1)N)N,DNA,Guanazole
49,1906,72508,C1CCNCC1.C1CCN(CC1)C(=S)S,Other,Piperidinium pentamethylenedithiocarbamate
50,1910,23615615,C[As](=O)(C)O.[Na+],Other,"Cacodylic acid, sodium salt"
51,1945,5351603,C(C(C(C(C(C(=O)O)O)O)O)O)O.[Ba+2],Other,"Gluconic acid, barium salt"
52,2012,24180869,CCCCCCCCCCCC[N+]1=CC=C(C=C1)CCCCCCCCC.[Cl-],Other,1-Dodecyl-4-nonylpyridinium chloride
53,2013,5634,C=CCCCCCCCCC(=O)O,Other,Undecylenic acid
54,2039,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Other,8-Hydroxyquinoline
55,285166,1923,C1=CC2=C(C(=C1)O)N=CC=C2,Other,8-Hydroxyquinoline
56,2053,219999,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)C4=CC=CC=C4)(C5=CC=C(C=C5)C6=CC=CC=C6)O,Other,Tribiphenyl-4-ylmethanol
57,2061,1549521,C1=COC(=C1)C=CC=O,Other,3-(2-Furyl)acrolein
58,2186,31316,CC1=CC(=C(C=C1C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,Other,Thymolphthalein
59,2384,1550330,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,Other,"2,6-Dibenzylidenecyclohexanone"
60,40618,1550330,C1CC(=CC2=CC=CC=C2)C(=O)C(=CC3=CC=CC=C3)C1,Other,"2,6-Dibenzylidenecyclohexanone"
61,2604,12688,CCCC[Sn](CCCC)(Cl)Cl,Other,Dibutyltin dichloride
62,2724,69497,CC1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,Other,Phenyl p-tolyl sulfone
63,2755,6842,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.[Cl-],Other,"3,6-Diamino-10-methylacridinium chloride"
64,757387,6842,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.[Cl-],Other,"3,6-Diamino-10-methylacridinium chloride"
65,2785,135399288,COC1=C(C2=C(C(=C1)[N+](=O)[O-])N=CC=C2)O,Other,5-Hydroxy-6-methoxy-8-nitroquinoline
66,2805,220284,CC1=CC(=C(C=C1O)C2=C(C=C(C(=C2)O)C)O)O,Other,"4,4'-Dimethyl[1,1'-biphenyl]-2,2',5,5'-tetrol"
67,2829,8369,CC1=C(C(=O)C=CO1)O,Other,Maltol
68,3039,24180949,C1=CC=C(C=C1)CC(=O)O.[Na+],Other,"Phenylacetic acid, sodium salt"
69,3053,44415057,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,DNA,Dactinomycin D
70,3055,5351454,CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O.Cl,Other,"3'-(L-alpha-Amino-p-methoxyhydrocinnamamido)-3'-deoxy-N,N-dimethyladenosine dihydrochloride"
71,3060,54611691,O[As]=O.[K+],Other,Potassium;arsenous acid
72,3061,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Other,Pyrimethamine
73,757306,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Other,Pyrimethamine
74,3062,29142,CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl,Other,Etoprine
75,3073,135444779,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Other,"2-[(4-{[(2-Amino-4-oxo-3,4-dihydropteridin-6-YL)methyl]amino}phenyl)formamido]pentanedioic acid"
76,3074,9048,CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C.Cl,Other,Cycloguanil hydrochloride
77,3077,16207143,CC1(N=C(N=C(N1C2=CC(=C(C=C2)Cl)Cl)N)N)C.Cl,Other,"1-(3,4-Dichlorophenyl)-6,6-dimethyl-1,3,5-triazine-2,4-diamine;hydrochloride"
78,3080,16236702,CC1(N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N)C.Cl,Other,"1-(3-Chlorophenyl)-6,6-dimethyl-1,3,5-triazine-2,4-diamine;hydrochloride"
79,3081,24180954,CCCCCCC1N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N.Cl,Other,"1-(4-Chlorophenyl)-6-hexyl-1,6-dihydro-1,3,5-triazine-2,4-diamine hydrochloride"
80,3082,24180955,CC1(N=C(N=C(N1C2=CC(=CC=C2)Br)N)N)C.Cl,Other,"s-Triazine,6-diamino-1-(m-bromophenyl)-1,2-dihydro-2,2-dimethyl-, hydrochloride"
81,3083,24180956,CCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N.Cl,Other,"1-(3-chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride"
82,3088,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,DNA,Chlorambucil
83,3090,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Other,Gentian Violet
84,757050,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Other,Gentian Violet
85,3091,84671,CC[N+](C)(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-].[Br-],Other,"Benzenaminium, 4-[[4-(dimethylamino)phenyl][4-(dimethyliminio)-2,5-cyclohexadien-1-ylidene]methyl]-N-ethyl-N,N-dimethyl-, bromide chloride (1:1:1)"
86,3094,23654,CN(C)N=NC1=CC=CC=C1,Other,"1-Phenyl-3,3-dimethyltriazene"
87,3262,94797,C1CN1C2=CC(=C(C=C2O)N3CC3)O,Other,"2,5-Bis(1-aziridinyl)hydroquinone"
88,3265,5377682,C1=CC=C2C(=C1)C=CC(=N2)C=CC3=CC=C(C=C3)Cl,Other,2-[2-(4-Chlorophenyl)ethenyl]quinoline
89,3284,110653,C[N+]1(CCCC1C2=CN=CC=C2)CC[N+]3(CCCC3C4=CN=CC=C4)C,Other,"Pyrrolidinium,1'-ethylenebis[1-methyl-2-(3-pyridyl)-, bromide"
90,3298,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-],Other,2-methoxy-4-[(1Z)-2-nitroprop-1-en-1-yl]phenol
91,57759,5354204,CC(=CC1=CC(=C(C=C1)O)OC)[N+](=O)[O-],Other,2-methoxy-4-[(1Z)-2-nitroprop-1-en-1-yl]phenol
92,3424,24180972,CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Other,Mepacrine mustard dihydrochloride
93,3531,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Other,Clioquinol
94,759822,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Other,Clioquinol
95,3618,220625,C1CCC(CC1)NC2CCC(CC2)NC3=C4C=CC(=CC4=NC=C3)Cl,Other,"4-N-(7-chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine"
96,3628,24185366,CCN(CC)C1=CC=C(C=C1)NC(C2=CC=CC=C2)C(=O)C3=CC=CC=C3.Cl,Other,"2-[4-(Diethylamino)anilino]-1,2-diphenylethanone;hydrochloride"
97,3799,6436750,C1=CC(=CC(=C1)[N+](=O)[O-])C=CC(=O)C=CC2=CC(=CC=C2)[N+](=O)[O-],Other,"1,5-Bis(3-nitrophenyl)penta-1,4-dien-3-one"
98,3808,11441,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br,Other,"1-Bromo-2,4-dinitrobenzene"
99,3840,407288,C1=C(SC(=C1)[Hg]Cl)Cl,Other,Chloro-(5-chlorothiophen-2-yl)mercury
100,3847,220712,CCC(=O)C1=CC(=C(S1)Br)[N+](=O)[O-],Other,1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one
101,3852,19103,C1=CC2=C(C=CC(=C2N=C1)O)N=O,Other,5-Nitroso-8-hydroxyquinoline
102,3877,24181001,C1=CC=[N+](C=C1)C2C3=CC=CC=C3C(C4=CC=CC=C24)[N+]5=CC=CC=C5.[Br-],Other,"1-(10-Pyridin-1-ium-1-yl-9,10-dihydroanthracen-9-yl)pyridin-1-ium;bromide"
103,3905,70848,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,Other,"2,2':6',2''-Terpyridine"
104,36755,70848,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,Other,"2,2':6',2''-Terpyridine"
105,3907,142766,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2,Other,8-Hydroxyquinoline salicylate
106,3927,6870,CC(=O)NC1=C2C(=CSS2)N(C1=O)C,Other,Thiolutin
107,3941,5354235,CC(=CC1=CC(=C(C=C1)Cl)Cl)[N+](=O)[O-],Other,"Benzene, 1,2-dichloro-4-(2-nitro-1-propenyl)-, (E)-"
108,23863,5354235,CC(=CC1=CC(=C(C=C1)Cl)Cl)[N+](=O)[O-],Other,"Benzene, 1,2-dichloro-4-(2-nitro-1-propenyl)-, (E)-"
109,3970,1174,C1=CNC(=O)NC1=O,Other,Uracil
110,4045,17170,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl,Other,Auramine O
111,93737,17170,CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl,Other,Auramine O
112,4060,220774,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,Other,"Urs-12-en-28-oic acid, 3-hydroxy-, (3beta)-"
113,167406,220774,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,Other,"Urs-12-en-28-oic acid, 3-hydroxy-, (3beta)-"
114,4112,7329,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,Other,Fenticlor
115,4114,72675,C1COCCN1.C1COCCN1C(=S)S,Other,Morpholine-N-dithiocarbamate
116,4170,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,Other,Menadione
117,4184,5282363,C1=CC(=CC=C1C=CC2=CC=C(C=C2)O)O,Other,"4,4'-Dihydroxystilbene"
118,4232,220828,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)NC3=CC=CC(=C3)C(=O)O,Other,"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid"
119,4236,668053,CN(C)C1=CC=C(C=C1)C=CC2=CC=NC3=CC=CC=C23,Other,4-(4-Dimethylaminostyryl)quinoline
120,4238,5713121,C[N+]1=C(C=CC2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-],Other,2-[4-(Dimethylamino)styryl]-1-methylquinolinium iodide
121,4239,12605846,C[N+]1=CC=C(C2=CC=CC=C21)C=CC3=CC=C(C=C3)N(C)C.[I-],Other,1-Methyl-4-P-dimethylamino-styryl-quinolinium-iodide
122,4265,73350,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.Cl,Other,"1,10-Phenanthroline hydrochloride"
123,4272,72791,CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2,Other,"5-Methyl-1,10-phenanthroline"
124,4280,65237,CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C,Other,Neocuproine
125,4281,72792,CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C,Other,"4,7-Dimethyl-1,10-phenanthroline"
126,4285,14161,C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Other,"2-Anilino-3-chloro-1,4-naphthoquinone"
127,4290,24181037,CCCCCC1=CC=[N+](C=C1)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Br-],Other,1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide
128,4291,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Other,Nordihydroguaiaretic acid
129,4375,12947,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,Other,Hydroxychloroquine sulfate
130,4378,24181064,CCN(CC)CC(C1=CC(=NC2=C1C=CC(=C2)Cl)C3=CC=C(C=C3)Cl)O.Cl,Other,1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride
131,4432,6433371,CC1(C2=CC=CC=C2[N+](=C1C=CC3=CC=C(C=C3)N(C)CCCl)C)C.[Cl-],Other,Astrazon Pink FG
132,4434,135436499,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(N(C4=CC=CC=C43)C)C5=CC=CC=C5)C)C,Other,Orange Astrazon R
133,4483,23673459,C1=CC=[N+](C(=C1)S)[O-].[Na+],Other,"2-Pyridinethiol, sodium salt"
134,4512,220946,C1=CC=C(C=C1)S(=O)(=O)CC(C#N)I,Other,3-(Benzenesulfonyl)-2-iodopropanenitrile
135,4518,220951,C1=CC(=C(C=C1C(=O)C2=CC(=C(C=C2)N)Br)Br)N,Other,Bis(4-amino-3-bromophenyl)methanone
136,4582,54603154,C1=CC(=C(C=C1Br)C=CC(=O)C=CC2=C(C=CC(=C2)Br)O)O,Other,"(1Z,4E)-1,5-bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one"
137,4623,221007,C1=CC=C(C=C1)C2=NC(=C(N2)C(=O)O)C(=O)O,Other,"2-phenyl-1H-imidazole-4,5-dicarboxylic acid"
138,4644,221023,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,Other,"Lup-20(29)-ene-3beta,28-diol"
139,4681,24181093,C1=CC(=CC=C1OCC(=O)O)OCC(=O)O.[Na+],Other,Sodium;2-[4-(carboxymethoxy)phenoxy]acetic acid
140,4698,94837,CC1=CC(=C(C=C1SC#N)C(C)C)O,Other,"Thiocyanic acid, 5-hydroxycarvacryl ester"
141,4722,221037,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC(=C3)CO)OCC(C(C(C=O)O)O)O,Other,"2,3,4-Trihydroxy-5-[3-(hydroxymethyl)-9,10-dioxoanthracen-1-yl]oxypentanal"
142,4728,19909,C1=NN=C(S1)N,Other,"2-Amino-1,3,4-thiadiazole"
143,4810,3802861,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Other,"3-[(2,4-dinitrophenyl)hydrazono]-1,3-dihydro-2H-indol-2-one"
144,4844,24181101,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.F[P-](F)(F)(F)(F)F,Other,"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate"
145,4857,21192315,CCN(CC)C(=S)S.[Na+],Other,"Diethylcarbamodithioic acid, sodium salt"
146,4896,5004,C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,Other,Quinalizarin
147,4911,2861016,C1=NC(=S)C2=C(N1)N(C=N2)C3C(C(C(O3)CO)O)O,Other,6-Thioinosine
148,4962,7253,CC1=C(C=CC(=C1)O)O,Other,Methylhydroquinone
149,4972,16043,CC(C)(C)C1=C(C=CC(=C1)O)O,Other,Tert-Butylhydroquinone
150,5006,221117,CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.CC(=O)O,Other,"4-[(4-Aminophenyl)(4-iminocyclohexa-2,5-dien-1-ylidene)methyl]-o-toluidine acetate"
151,5011,12449,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)[O-],Other,Brilliant green
152,5019,92206,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC3=CC(=CC=C3)S(=O)(=O)O)C=C2)C4=CC=C(C=C4)N(CC)CC5=CC(=CC=C5)S(=O)(=O)O,Other,Formyl Violet
153,5031,16129878,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Other,Tannic acid (TN)
154,5048,79174,C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)[N+](=O)[O-],Other,4-(4-Nitrophenylazo)-1-naphthol
155,5053,9283,C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],Other,"2,3,5-Triphenyltetrazolium chloride"
156,5062,2827274,C=CC[N+]12CN3CN(C1)CN(C3)C2.[I-],Other,Methenamine allyl iodide
157,5066,69095,CC1=CC(=CC(=C1N=NC2=CC=C(C=C2)[N+](=O)[O-])O)O,Other,"1,3-Benzenediol, 5-methyl-4-[(4-nitrophenyl)azo]-"
158,5113,4871,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,Other,Pomiferin
159,5159,5351130,CC1C(C(C(C(O1)OC2=CC=CC3=C2C4=C5C6=C(C=CC(=C6C(=O)O4)C)OC(=O)C5=C3O)OC7C(C(C(C(O7)C)O)OC)O)O)O,Other,"Benzo(h)(1)benzopyrano(5,4,3-cde)(1)benzopyran-5,12-dione, 10-((6-deoxy-2-O-(6-deoxy-3-O-methyl-alpha-D-galactopyranosyl)-beta-D-galactopyranosyl)oxy)-6-hydroxy-1-methyl-"
160,5192,16317,C1=CC=C2C(=C1)C=CC3=C2C(=O)C(=O)C4=CC=CC=C34,Other,"5,6-Chrysenedione"
161,5200,135403411,C1=CC=C(C=C1)N=NC2=C(N=C(NC2=O)N)N,Other,"2,4-Diamino-6-hydroxy-5-phenylazopyrimidine"
162,5206,24181145,CCCCCCCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Br)N)N.Cl,Other,"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride"
163,5278,17584,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)[N+](=O)[O-],Other,"1,2,4-Trichloro-3,5-dinitrobenzene"
164,5283,13820,CC[Sn](CC)(CC)Cl,Other,Triethyltin chloride
165,5332,6825,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC=N3)O,Other,1-(2-Pyridylazo)-2-naphthol
166,5337,79411,CCCCCCCCCCCC[N+]1=CC=CC=C1.C1=CC2=C(C=C1Cl)N=C(S2)[S-],Other,Vancide 26
167,5347,8660,C1=CC=C(C(=C1)C(=O)O)SCC(=O)O,Other,2-[(Carboxymethyl)thio]benzoic acid
168,5355,5351462,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[O-]S(=O)(=O)[O-],Other,Berberine sulfate hydrate
169,5364,2757,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,Other,alpha-Quinidine
170,5366,275196,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,Other,Noscapine
171,5417,69064,C1=CC=C2C(=C1)C(=CC=C2O)N=O,Other,"1-Naphthalenol, 4-nitroso-"
172,5418,67115,CCN(CC)C1=CC=C(C=C1)N=O,Other,"N,N-Diethyl-4-nitrosoaniline"
173,5425,94860,C1=CC=C2C(=C1)C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O,Other,"2-Nitrophenanthrene-9,10-dione"
174,5485,221231,C1=CC2=C(C=CN=C2C=C1Cl)NCC(CNC3=C4C=CC(=CC4=NC=C3)Cl)O,Other,"1,3-Bis[(7-chloroquinolin-4-yl)amino]propan-2-ol"
175,5491,25113351,CCN1C(=CC2=CC=[N+](C3=CC=CC=C23)CC)C=CC4=CC=CC=C41.[I-],Other,(2Z)-1-ethyl-2-[(1-ethylquinolin-1-ium-4-yl)methylidene]quinoline;iodide
176,5551,6433478,C[N+]1=C(SC2=C1C3=CC=CC=C3C=C2)C=CC4=CC=C(C=C4)N(C)C.[I-],Other,"2-(p-Dimethylaminostyryl)-1-methylnaphtho(1,2-d)thiazolium iodide"
