,NSC,CID,SMILES,MECHANISM,DrugBank ID,Drug Name,SID,is_dti
13498,694500,24202574,[B-](F)(F)(F)F.CC1=CC=NC=C1.C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3.[Pt+2],Other,,"2,6-Dipyridin-2-ylpyridine;4-methylpyridine;platinum(2+);tetrafluoroborate",24202574,False
13499,694501,393111,COC1=C(C=C2C(=C1)C(=O)N3CC(=C)CC3C=N2)OCCCOC4=C(C=C5C(=C4)N=CC6CC(=C)CN6C5=O)OC,DNA,DB11965,BN-2629,393111,False
13500,694509,5469941,CC1CCCC(=CCCC2(C(O2)CC3C(C1O)OC(=O)C3=C)C)C,Other,,"12,13-bis-epi-Eupalmerin",5469941,False
13501,694520,393120,CCOC(=O)C(CS)NC(=O)CCCCCCCC(=O)O,Other,,9-((2-Ethoxy-1-(mercaptomethyl)-2-oxoethyl)amino)-9-oxononanoic acid,393120,False
13502,694527,393129,CC1(CC2=C(C(=O)C1)C(=C3C=CC4=CC=CC=C4C3=N2)C5=CC=C(C=C5)NC(=O)CCCCCCCCC(=O)NC6=CC=C(C=C6)C7=C8C=CC9=CC=CC=C9C8=NC1=C7C(=O)CC(C1)(C)C)C,Other,,"N,N'-Bis[4-(10,10-dimethyl-8-oxo-9,11-dihydrobenzo[c]acridin-7-yl)phenyl]decanediamide",393129,False
13503,694535,393133,C1CC2(CC=C1)COC(OC2)C3=CC=C(C=C3)OCCCCCCCCCCCO,Other,,"11-[4-(8,10-Dioxaspiro[5.5]undec-3-en-9-yl)phenoxy]undecan-1-ol",393133,False
13504,694536,9556330,C1=CC(=CC=C1C=NNC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])OCCCCCCCCCCCO,Other,,"11-[4-[(E)-[(2,4-Dinitrophenyl)hydrazono]methyl]phenoxy]undecan-1-ol",9556330,False
13505,694559,393146,C1C2=CC=CC=C2S(=O)(=O)N3C=CC=C3C(=O)N1,Other,,"2,2-Dioxo-2lambda6-thia-3,9-diazatricyclo[9.4.0.03,7]pentadeca-1(15),4,6,11,13-pentaen-8-one",393146,False
13506,694564,393153,COC1=C(C=NC2=CC=CC=C21)SC3=C(C=NC4=CC=CC=C43)SCSC5=C(C6=CC=CC=C6N=C5)SC7=C(C8=CC=CC=C8N=C7)OC,Other,,4-Methoxy-3-[3-[[4-(4-methoxyquinolin-3-yl)sulfanylquinolin-3-yl]sulfanylmethylsulfanyl]quinolin-4-yl]sulfanylquinoline,393153,False
13507,694565,393154,C1=CC=C2C(=C1)C(=O)C(=CN2)SC3=C(C=NC4=CC=CC=C43)SCSC5=C(C6=CC=CC=C6N=C5)SC7=CNC8=CC=CC=C8C7=O,Other,,3-[3-[[4-[(4-Oxo-1H-quinolin-3-yl)sulfanyl]quinolin-3-yl]sulfanylmethylsulfanyl]quinolin-4-yl]sulfanyl-1H-quinolin-4-one,393154,False
13508,694569,5924114,CCN(CC)C(=S)N=C(C1=CC=CC=C1)SC(=S)N(CC)CC,Other,,"Benzenecarboximidothioic acid, N-[(diethylamino) thioxom...",-,False
13509,694610,10757635,CC1CCCC=CC2CC(CC2C(C(C(C(=O)O1)O)O)O)O,Other,,"2,3-Dihydro-2,3-dihydroxy-brefeldin A",10757635,False
13510,694611,24202575,CC1CCCC(C(C2CC(CC2C(C(C(C(=O)O1)O)O)O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C)O)O,Other,,"1,13-bis-tert-Butyldimethylsilyloxy-2,3,10,11-tetrahydro...",24202575,False
13511,694612,24202576,CC1CCCC2C(O2)C3CC(CC3C(C(CC(=O)O1)S(=O)(=O)CC(=O)OC)O)O,Other,,"2,3-Dihydro-1,2-syn-2-[carbomethoxymethylsulphonyl]-10,1...",24202576,False
13512,694614,393160,CC1=CC2=C(N=C1)SN(C2=O)C3=CC=C(C=C3)Br,Other,,"2-(4-Bromophenyl)-5-methylisothiazolo[5,4-b]pyridin-3(2H)-one",393160,False
13513,694616,393162,C1=CC(=CC=C1N2C(=O)C3=C(S2)N=CC(=C3)[N+](=O)[O-])Br,Other,,"2-(4-bromophenyl)-5-nitro-isothiazolo[5,4-b]pyridin-3(2H...",393162,False
13514,694619,393165,CC1=CC2=C(N=C1)SN(C2=O)C3=CC=C(C=C3)OC4=CC=CC=C4,Other,,"5-Methyl-2-(4-phenoxyphenyl)isothiazolo[5,4-b]pyridin-3(2H)-one",393165,False
13515,694620,393166,C1=CC=C(C=C1)OC2=CC=C(C=C2)N3C(=O)C4=C(S3)N=CC(=C4)[N+](=O)[O-],Other,,"5-Nitro-2-(4-phenoxyphenyl)isothiazolo[5,4-b]pyridin-3-one",393166,False
13516,694621,393167,COC1=CC=C(C=C1)N2C(=O)C3=C(S2)N=CC=C3,Other,,"2-(4-Methoxyphenyl)isothiazolo[5,4-b]pyridin-3(2H)-one",393167,False
13517,694623,393169,CCCCC1=CC=C(C=C1)N2C(=O)C3=C(S2)N=CC=C3,Other,,"2-(4-Butylphenyl)isothiazolo[5,4-b]pyridin-3(2H)-one",393169,False
13518,694624,393170,CCCCC1=CC=C(C=C1)N2C(=O)C3=C(S2)N=CC(=C3)[N+](=O)[O-],Other,,"2-(4-Butylphenyl)-5-nitro-isothiazolo[5,4-b]pyridin-3-one",393170,False
